audit_id,order_id,field_name,old_value,new_value,changed_at,changed_by
19269,8413,order_total,2M82DX,80DJ4O,2024-02-16T18:27:18,support
19270,114993,order_total,UV7LIC,TYXREH,2024-03-01T14:07:34,support
19271,26770,customer_phone,ZWK03H,DRH2WC,2025-02-13T19:01:09,support
19272,60566,current_status,VNFHFT,N8EG31,2024-12-22T12:49:48,system
19273,74873,order_total,4FCMTN,NRVR4T,2025-05-22T14:44:52,support
19274,26111,current_status,TOSABI,EOEGJ2,2025-12-11T06:43:15,system
19275,18058,order_total,NMZ20V,L4W8GK,2024-12-28T10:55:43,support
19276,57107,customer_phone,7HS5UD,YA1NHK,2025-05-15T18:24:30,ops
19277,91613,order_total,CLMR8B,VITL9Y,2025-05-16T22:32:54,system
19278,83435,shipping_address,FV9TBI,TSEEKA,2024-01-17T22:38:54,ops
19279,11791,customer_phone,1A7TO1,T7SGSE,2024-12-06T04:59:30,support
19280,119781,notes,R0H18E,T4S3D4,2025-10-14T23:52:47,ops
19281,40017,order_total,848X4O,EGK991,2025-01-17T20:00:08,support
19282,102143,current_status,O6O8VO,V78EHE,2024-07-30T21:12:17,support
19283,80643,notes,IARHYU,YON25T,2025-01-24T04:54:07,support
19284,72841,current_status,ZU5H9E,4PWZ8W,2025-03-19T19:26:15,ops
19285,52555,customer_phone,5VC1W8,25HHS2,2024-08-12T04:15:19,support
19286,82995,notes,VHN9IQ,X9KGJE,2025-04-22T22:37:00,support
19287,114079,customer_phone,TV3EZ8,12FXAL,2025-11-09T22:47:25,system
19288,88026,order_total,Y8ZANE,6BU2MY,2025-02-07T23:13:19,ops
19289,38502,current_status,QNQQKW,A2SDVF,2024-10-13T01:46:37,support
19290,25690,current_status,LZBP71,SIMV5O,2025-10-27T11:18:14,ops
19291,12088,notes,SX5EBL,NWIHS2,2024-05-28T02:39:44,support
19292,37350,current_status,LRA26D,EBBPGY,2024-06-12T19:12:37,support
19293,113750,notes,NYGNKL,2552ZO,2024-04-27T20:11:48,system
19294,106935,shipping_address,NW80AI,T9E7W8,2024-05-31T15:31:33,system
19295,85200,order_total,59KXI8,QIPUBQ,2024-06-10T13:30:08,system
19296,49885,shipping_address,4BQ6ON,97M4HZ,2025-08-07T07:54:46,support
19297,95441,current_status,QJTOMW,EGFBB6,2024-08-11T10:03:59,ops
19298,76626,shipping_address,HZKWBY,PLHY5E,2024-04-03T14:43:24,system
19299,14139,order_total,ZPETOX,1DQKNN,2025-12-27T13:39:57,support
19300,104408,shipping_address,GUXRWR,GYM2HN,2024-10-21T17:01:05,system
19301,8261,customer_phone,65KO1H,UBUO38,2025-06-15T05:44:59,ops
19302,56310,current_status,S4RAFV,RDNY2U,2024-01-18T04:33:01,ops
19303,3975,current_status,3FDV37,UP5SYF,2025-02-14T22:55:13,system
19304,30483,current_status,RUHJCC,9RXSDI,2025-02-16T08:28:05,support
19305,109010,shipping_address,5SSZU9,84WZ1O,2025-05-02T06:59:38,ops
19306,111367,order_total,KQ9I6S,C3ABWX,2025-03-02T00:23:53,support
19307,74610,notes,GNOH0N,9XRJ63,2024-12-04T20:10:28,support
19308,114369,shipping_address,A4IIOW,5S0JF2,2024-06-02T09:02:34,ops
19309,81864,order_total,DY8HM2,CKIN8H,2026-02-07T16:43:19,support
19310,34552,order_total,PGZ8QQ,OISTGG,2025-03-02T01:57:33,support
19311,4734,current_status,7XMDMA,WXQA9R,2024-07-04T23:20:38,support
19312,52777,current_status,LXDZ01,63FROC,2025-01-15T08:22:05,support
19313,9992,order_total,3MR13B,36XTJ7,2024-01-26T13:21:23,support
19314,92480,customer_phone,FY7FTO,WIK2S3,2024-01-02T15:22:07,ops
19315,6768,order_total,VPFRYB,472BEN,2024-10-07T18:58:27,system
19316,77555,customer_phone,31VMWE,HG1R0D,2024-04-28T22:46:36,support
19317,102958,current_status,RKXX1Z,D5E7TM,2024-11-06T02:39:47,ops
19318,42592,order_total,WTDCPN,65SOEZ,2024-03-18T13:35:45,system
19319,11689,current_status,MSYX0A,O4W5MX,2025-09-08T10:42:39,support
19320,27630,order_total,Q4YVXA,R4XZEV,2025-07-10T03:49:20,ops
19321,95197,customer_phone,6JTOT8,NZF1FZ,2025-07-15T20:26:23,ops
19322,56125,notes,YDIV9U,Y1IWJU,2024-05-04T14:45:57,support
19323,56325,shipping_address,8CAHDU,SQ992S,2024-03-31T11:30:24,ops
19324,76035,order_total,OMH7DV,MINBX9,2025-01-14T16:14:18,ops
19325,89619,shipping_address,33Z2O2,ZZ21VT,2025-09-12T20:05:41,ops
19326,33706,order_total,6XRP7X,ZW1YVV,2025-12-27T01:42:13,support
19327,13377,shipping_address,2R979Q,04GUI0,2024-03-09T02:55:52,support
19328,91157,order_total,W1MDLI,C3I4QW,2025-09-10T01:49:22,system
19329,68649,notes,EWPC98,3XTGK3,2024-01-05T11:53:32,support
19330,27508,notes,NILV4W,XFCI06,2024-07-20T05:51:11,support
19331,88775,shipping_address,0R9XMX,KUP0J5,2025-07-16T05:02:43,system
19332,74137,current_status,W9SMN3,8KTIHY,2024-02-16T05:01:50,ops
19333,17291,shipping_address,MLJTWT,AFWUZT,2025-08-11T10:24:54,support
19334,28440,current_status,FDZZIV,ZM3C0A,2025-01-02T17:25:10,support
19335,36694,customer_phone,D8WPVQ,2QTJM6,2024-02-12T19:20:14,support
19336,45091,notes,MUPX2S,LE7864,2025-06-16T04:30:19,ops
19337,47069,order_total,8ZXWLG,P7K5Y5,2025-08-30T02:53:27,ops
19338,82659,order_total,DRAYCI,0HZZVH,2025-04-15T14:43:16,support
19339,34271,current_status,YIXCGF,F6U45D,2024-10-16T01:24:08,system
19340,93087,current_status,BIE0MJ,Q4OR9J,2025-12-18T08:23:37,support
19341,60288,current_status,OTKX6T,VCXUDL,2025-06-27T22:29:51,system
19342,31986,current_status,RO4W9K,XJE0XY,2024-07-16T02:32:38,ops
19343,100354,customer_phone,B82K8G,1NQQOC,2024-12-19T00:21:12,support
19344,113267,notes,BQ7PRZ,3CRNRF,2025-05-24T10:14:05,system
19345,109006,shipping_address,3NYIO6,WYHO0W,2024-09-01T22:30:20,ops
19346,82002,shipping_address,RFVLPD,T3YI38,2024-06-17T14:43:30,ops
19347,31335,order_total,NTAJV9,GN8K5C,2024-09-07T14:48:02,ops
19348,21447,current_status,0XEPCP,J5GMQL,2025-02-18T19:16:04,ops
19349,46860,customer_phone,GKE8H2,OABQJ9,2025-03-05T15:37:29,system
19350,28629,current_status,NV814N,MM2PY6,2025-12-12T01:04:37,ops
19351,6966,customer_phone,B2SPA3,EFTCBV,2025-01-25T13:23:07,ops
19352,55053,notes,IV8W2J,A7X5QF,2025-07-11T07:54:36,ops
19353,19711,notes,RSXLF4,DECQ3G,2024-05-14T05:51:10,system
19354,99196,current_status,YI8I55,BF74XH,2025-06-24T20:00:07,support
19355,13963,customer_phone,7Y2BJW,HBTMIF,2025-01-25T10:35:15,ops
19356,95954,order_total,Z7YIN4,ARET5Z,2025-04-28T06:19:51,support
19357,7059,current_status,2FS9QK,WMFAQ4,2024-08-06T22:03:51,system
19358,12022,order_total,GFA6I4,DWCXW3,2024-06-06T02:56:03,system
19359,82653,current_status,MW0P9K,NKU9PC,2025-07-18T13:04:41,support
19360,100081,customer_phone,2TBY50,13DPNF,2025-05-14T13:17:51,ops
19361,102201,customer_phone,9VTCX5,AJR90Y,2025-12-24T14:02:27,support
19362,74296,customer_phone,ZMQHEH,PRLSK8,2025-11-16T06:36:29,system
19363,1360,current_status,SXIQ7S,WGIEQ9,2025-09-22T17:05:58,support
19364,50567,order_total,1CI749,SHI2GJ,2024-04-01T20:54:53,system
19365,50466,shipping_address,EKNH44,D8DY2K,2024-11-01T11:40:35,ops
19366,59398,customer_phone,FRBNEM,6SJ08V,2025-04-29T23:53:51,system
19367,105646,shipping_address,HKCDYA,TIR70R,2024-04-14T09:16:27,system
19368,32089,order_total,LQY5L6,7OBILO,2024-11-04T20:55:03,ops
19369,99735,current_status,RB340E,B3O1P9,2025-08-19T10:53:30,support
19370,118622,customer_phone,TZ0219,JBZDF8,2024-10-10T21:50:15,system
19371,101404,order_total,94M6BA,9DX026,2025-10-05T20:16:15,ops
19372,95051,current_status,CT57AR,UALMUI,2024-02-14T20:28:38,ops
19373,73971,order_total,DFN2XG,OYHFB1,2025-12-13T16:32:20,support
19374,59311,order_total,WHT7VN,UNT0UD,2024-05-07T03:13:55,support
19375,97037,current_status,RJ5FZ8,L3WHKO,2024-07-11T07:03:22,support
19376,115756,order_total,U86NO9,L83FD5,2025-01-09T13:15:57,ops
19377,91004,shipping_address,U7SK86,UCDL7A,2025-06-07T16:44:34,system
19378,3377,current_status,RA3IW3,KNN4X5,2024-01-24T22:34:57,system
19379,115917,customer_phone,G6SVX5,3OZXKW,2024-09-25T19:28:25,ops
19380,62160,order_total,UUHIQX,P5JQJB,2026-01-16T08:44:05,ops
19381,53373,notes,EUDGTE,LNL2LZ,2024-10-16T15:11:35,support
19382,59797,current_status,DM6RUD,P43QOF,2025-08-31T14:42:29,ops
19383,99606,current_status,9BIA3E,RCYW74,2025-02-07T17:08:20,ops
19384,100809,customer_phone,AZ8WZH,9YM6TS,2024-01-24T16:12:37,ops
19385,46208,notes,EBBZ20,ATOXP2,2025-12-12T11:31:32,support
19386,65519,notes,TA00BH,DN7EJR,2025-09-23T15:54:00,system
19387,15246,current_status,N8QIKB,GX4ALS,2024-05-07T12:11:45,system
19388,112012,notes,1MXZ1Y,2DD0SI,2024-06-29T15:18:35,ops
19389,33853,customer_phone,LTBM36,W1KNGP,2025-10-11T01:27:23,system
19390,85382,customer_phone,M8EKRL,Y15C10,2025-08-10T08:42:01,ops
19391,56121,customer_phone,AAW654,3TY0NI,2025-02-08T13:41:14,system
19392,82295,notes,8PG8H0,R47ZAL,2024-12-03T04:33:29,system
19393,22359,current_status,U094JH,LF5Y70,2024-02-23T05:58:39,ops
19394,45147,order_total,KCS7WQ,NKSMBF,2024-12-16T15:45:05,system
19395,4415,notes,SYGQVY,IHJ8WU,2025-11-21T16:12:12,ops
19396,63536,current_status,AAA2L6,RL94MT,2024-11-01T16:31:01,support
19397,24331,shipping_address,N4YF1Z,TK2MBI,2024-04-04T08:01:44,ops
19398,48160,shipping_address,CDTQK2,2J11GZ,2025-06-13T02:04:43,system
19399,39465,order_total,T5DUKJ,R4BWO6,2025-04-19T18:09:27,ops
19400,17723,current_status,P3EF2R,MGL5AZ,2025-12-26T19:21:09,support
19401,68795,customer_phone,VRMU0Z,THUQOK,2024-03-23T18:17:36,system
19402,52709,customer_phone,U03FGF,LDYQNS,2025-05-20T23:38:31,support
19403,58161,current_status,8KRQA4,EG661E,2025-09-27T15:03:18,ops
19404,43868,current_status,CP8SCX,1E2W5L,2025-02-16T14:38:52,system
19405,84790,customer_phone,XGULP0,IEZ3LV,2025-10-16T13:23:45,support
19406,101600,customer_phone,E89980,I4Y1QC,2024-02-07T01:46:34,ops
19407,113283,notes,E2S1WP,83O161,2025-01-01T20:49:30,support
19408,88839,current_status,QJ1L2M,Q3UCAZ,2024-03-12T15:01:20,ops
19409,79709,customer_phone,J3V45Y,PHQWD5,2025-04-20T16:00:40,ops
19410,65755,customer_phone,ODVQGE,5UIAHP,2024-04-29T03:21:32,support
19411,19550,order_total,QBMBBD,YHBIKB,2024-11-05T21:52:48,ops
19412,31755,notes,MELHI3,2UZ7HS,2026-01-26T03:18:28,ops
19413,39385,current_status,L8HUQO,U3WEZG,2025-07-25T20:54:27,support
19414,76951,order_total,HH2LWJ,VOY5QC,2025-11-15T03:40:15,support
19415,84740,order_total,LMK5OB,9KGSEL,2024-10-17T17:59:51,support
19416,25901,customer_phone,DDPOZP,9J2BUG,2024-04-20T18:14:13,system
19417,39503,order_total,TPEH38,MPRY4M,2024-02-08T01:25:23,system
19418,62458,shipping_address,NP3NG2,90FJ1B,2025-09-25T08:04:10,support
19419,41538,order_total,0G2H1U,86LCYB,2024-09-02T00:53:50,system
19420,11397,shipping_address,AWXBO2,6D0W22,2024-09-09T14:40:36,support
19421,119116,order_total,HH1Y5X,ISCTDB,2025-09-19T05:49:42,system
19422,99174,order_total,GK641V,NWPGYI,2024-11-03T03:51:57,support
19423,3048,shipping_address,EGOK5N,TSFSN4,2024-07-04T03:59:08,support
19424,53043,shipping_address,HC2W2S,BSRNFU,2024-10-20T20:02:25,ops
19425,38940,order_total,2T7WVW,QB6T2P,2024-11-09T18:07:50,system
19426,30798,notes,40WQY7,Z11P8C,2025-09-22T20:46:04,ops
19427,29926,shipping_address,Z2BUTS,33H2RM,2024-02-17T13:35:21,system
19428,60271,customer_phone,G6Y30U,F2HX5T,2024-04-29T02:38:22,system
19429,30438,customer_phone,ACY9N5,CENTKD,2024-07-05T23:50:29,ops
19430,62267,customer_phone,L445D6,QGWIUP,2025-08-14T19:32:12,support
19431,6264,shipping_address,7UKU90,XKNVIX,2026-01-07T16:51:17,system
19432,107088,current_status,RLTITF,3OHHDW,2024-09-20T11:12:31,support
19433,55981,shipping_address,B6CHJ7,DTMVMW,2024-07-05T17:30:02,ops
19434,81151,order_total,3SWOL4,VPY5WC,2024-08-02T17:51:50,system
19435,32894,customer_phone,4P1K5A,KTKFZQ,2025-11-30T18:39:03,system
19436,75798,current_status,JM5MTN,G9UBOR,2024-10-10T00:33:41,ops
19437,68741,shipping_address,X8ADHI,EGRO90,2025-04-09T07:45:39,system
19438,101372,notes,MALLXT,B5PPV6,2024-09-25T10:41:27,system
19439,99847,customer_phone,E4HU5V,BE8YU1,2025-01-31T19:33:12,ops
19440,11253,customer_phone,KCRFVU,UFOQJ1,2025-07-14T12:08:04,system
19441,85271,shipping_address,TJ2393,4EG1VC,2024-02-26T08:38:11,ops
19442,101757,customer_phone,6XX8B7,GFMAC9,2025-02-15T14:23:51,system
19443,67309,notes,8TKWR1,ZN6U3R,2024-05-10T09:01:39,ops
19444,1582,order_total,3KVLAX,516TRD,2024-10-27T22:34:35,support
19445,14844,current_status,AHI4JO,K36POA,2024-05-01T18:06:22,system
19446,69264,order_total,26A6H3,NJHPKO,2025-12-16T11:00:01,support
19447,9581,notes,INDTZD,RJKF8Q,2024-03-07T21:49:38,system
19448,80834,current_status,JPKWM3,DHZ1DU,2025-04-17T02:46:23,system
19449,2297,current_status,VGVR8W,SGMQWW,2025-04-20T04:50:02,ops
19450,93995,shipping_address,KGFW3L,KZB97X,2025-09-29T10:57:52,ops
19451,24999,order_total,F4KQXU,6RMIAZ,2024-10-15T18:37:07,support
19452,86196,notes,C77ZLS,HYIXJM,2024-04-06T10:30:15,system
19453,27227,customer_phone,T1BHP5,T7UD6Q,2024-08-20T19:48:05,system
19454,15216,customer_phone,K3HH59,BDYSG5,2024-10-17T12:43:38,ops
19455,84721,order_total,6C0NV3,GFSPPE,2025-06-15T07:39:05,system
19456,17100,shipping_address,WFAW4Y,7SS26K,2025-03-10T01:46:43,system
19457,41580,order_total,1K99SA,JCTHS8,2024-10-20T10:33:30,system
19458,104911,shipping_address,JFJASH,P13U8U,2024-12-23T23:09:58,ops
19459,104167,customer_phone,VN3N1M,RJZDFS,2026-01-04T00:12:08,system
19460,21147,order_total,T3PHQ4,LROBUM,2025-10-14T19:17:01,ops
19461,34903,current_status,6EEP6B,DZ75BI,2025-12-21T16:53:18,ops
19462,66653,order_total,4H38VV,CA5CCH,2024-01-31T08:42:23,system
19463,49905,customer_phone,121PZ9,6NUJR0,2024-07-12T12:06:09,ops
19464,68413,order_total,7WWV37,O5I2RP,2024-09-03T03:29:38,support
19465,33964,shipping_address,N3NTOQ,2OORNS,2024-10-14T22:31:54,support
19466,26265,shipping_address,U8VUDB,144INZ,2025-05-25T18:17:10,system
19467,85678,current_status,WNE0PO,5T3N01,2024-04-03T18:42:10,system
19468,50362,notes,6JD530,HR9OZ1,2024-10-19T18:40:22,support
19469,29148,shipping_address,EOQE70,0B3CS3,2024-09-25T18:52:55,ops
19470,93095,shipping_address,EIBTXX,JUFK7R,2025-08-21T08:11:48,support
19471,99260,shipping_address,6ET7IA,TPCMC1,2024-09-27T05:09:16,ops
19472,54664,customer_phone,P0ZMF9,BD80G6,2025-01-28T14:46:15,system
19473,110488,order_total,1WRD3M,FQA9JH,2025-02-28T07:42:09,support
19474,38341,order_total,72MQ92,EPNDJ0,2024-03-20T14:56:37,support
19475,107890,customer_phone,ZBTN9X,OKV7YQ,2024-08-30T19:42:37,ops
19476,40459,current_status,3JNJ80,SJ7IGT,2024-09-01T06:58:09,support
19477,18027,notes,QTVMSA,VIYB7V,2026-01-20T08:25:13,support
19478,24300,notes,ZSEFKV,93BXHX,2025-11-06T05:48:16,support
19479,43676,current_status,2A9TS8,CXQYHE,2024-08-08T15:25:19,support
19480,98142,customer_phone,CRON5F,7VAE7T,2025-05-29T13:25:12,system
19481,37940,order_total,GARC41,JA495E,2024-09-14T14:51:12,support
19482,36518,customer_phone,UE968V,5XDVP6,2025-09-07T10:41:42,support
19483,61548,notes,6NPJWS,S7ZDEY,2024-04-24T23:49:17,support
19484,76764,shipping_address,ENC566,DVQQ0E,2024-11-02T05:08:33,system
19485,28811,current_status,76KE69,4M5M70,2025-01-21T15:44:47,ops
19486,107378,order_total,AY4CLE,UIIFH7,2024-11-03T16:49:14,system
19487,66800,shipping_address,6MXD9G,XC6DFU,2024-11-13T09:41:42,support
19488,22869,order_total,GU6TRJ,0CIEHZ,2025-01-16T16:55:36,ops
19489,56239,customer_phone,FCBUMC,GCZGLJ,2025-03-27T15:13:01,system
19490,5268,customer_phone,U6GM8I,W31CJZ,2024-10-10T17:53:23,support
19491,33093,shipping_address,KKQEYK,D6UC3U,2024-11-18T23:42:41,ops
19492,51691,order_total,EB73W4,5S5XIK,2025-12-01T01:47:17,system
19493,29195,order_total,TL1V2K,PVRPNZ,2025-09-19T10:53:29,support
19494,102579,customer_phone,0BVBKT,Y26J2R,2024-10-05T11:13:46,system
19495,79312,current_status,HEOKQV,TQKII2,2025-08-05T05:10:54,support
19496,74998,customer_phone,ONDITP,0LQTZO,2024-09-25T19:07:16,system
19497,51596,order_total,PN8YMB,SOKE02,2024-02-11T06:49:36,support
19498,4052,customer_phone,96FZGT,2F1YCD,2025-04-23T06:18:18,support
19499,17487,order_total,VMF70D,T19HY2,2024-07-23T03:35:28,system
19500,70681,customer_phone,811Z2K,L0NHSH,2025-04-19T17:58:35,system
19501,65311,customer_phone,R174CS,W9HWBS,2024-05-12T02:28:55,system
19502,31345,order_total,DZPATR,T03K3C,2024-10-20T10:22:13,ops
19503,95271,customer_phone,KMJLA5,QBZB5J,2024-05-28T21:21:26,system
19504,65903,order_total,M9CUH1,TDYWE1,2025-03-21T20:34:38,support
19505,57097,notes,T0ZDTU,368Y30,2024-10-09T13:17:04,support
19506,106050,customer_phone,14I02X,BUH5KJ,2024-09-16T08:15:48,ops
19507,14734,shipping_address,JCJ96Q,RCUN7W,2024-08-17T20:06:45,system
19508,51930,customer_phone,1FN3ZP,TPR0XT,2025-04-13T02:37:06,ops
19509,54998,order_total,ZS3GUD,ZCQTWZ,2025-08-19T06:48:05,ops
19510,15683,order_total,K52221,6J4677,2025-10-08T19:14:28,ops
19511,74419,notes,QA9MSN,VMVHLE,2024-08-25T09:00:55,support
19512,57914,shipping_address,3PTUTU,T1SYYD,2025-07-01T14:20:25,ops
19513,24744,customer_phone,3STQ71,6GFB96,2024-12-18T04:04:04,ops
19514,20053,order_total,FQA2P6,W7OVVK,2025-08-06T03:08:16,support
19515,3306,customer_phone,IVAWX4,KD2HX2,2024-09-28T20:32:16,system
19516,3122,order_total,DDBH4Y,4OKJQK,2024-07-31T01:04:36,ops
19517,113035,shipping_address,JW78E8,Y7FK0M,2025-07-17T01:55:47,system
19518,107973,shipping_address,WC42HN,D5C4HD,2024-06-02T18:22:07,system
19519,70126,order_total,JP8192,5U1N4H,2025-11-04T14:26:51,support
19520,54879,current_status,3982VP,FCKOGV,2024-08-17T05:31:42,ops
19521,54494,current_status,UCZCOH,63I5JN,2024-04-28T16:36:41,ops
19522,1959,customer_phone,DPH4HT,2EDJLW,2025-08-03T03:28:31,support
19523,75621,notes,Z5Z8VW,ZJFIO0,2024-02-23T01:40:45,ops
19524,64674,notes,PH1YJ2,YR3R7O,2025-06-12T02:38:55,system
19525,7742,customer_phone,5MVAQ8,USAO2F,2025-02-27T21:50:40,system
19526,76489,customer_phone,DKFWX4,DLNXH7,2025-10-31T12:28:01,support
19527,26892,notes,TCIKME,A5DTKB,2024-09-28T05:18:52,support
19528,95385,current_status,GA5APK,C9MTTW,2024-10-21T10:57:02,system
19529,68052,customer_phone,MVL011,BK0TJR,2024-12-19T01:47:13,support
19530,96914,notes,IPEWAF,S0S28Q,2024-11-16T02:42:46,system
19531,75796,customer_phone,UA3BTB,WJGUSP,2025-09-03T07:02:11,support
19532,106905,notes,3XGR1G,LLE77Q,2024-09-30T11:02:47,ops
19533,81089,current_status,IKUHS6,O1JYQD,2025-06-30T07:09:33,system
19534,21133,order_total,BUQ60F,ZUUHFA,2024-12-22T12:53:16,system
19535,82554,current_status,GI561G,7CWZHG,2026-01-17T08:21:26,support
19536,107742,shipping_address,0RGFVU,4OV4A0,2024-12-03T15:58:22,ops
19537,63351,notes,F1AXJ7,4QZ6JV,2024-02-01T07:53:53,ops
19538,47106,shipping_address,8Q4B1F,U0181G,2025-05-30T22:44:46,ops
19539,110337,shipping_address,8Z3T2M,2BOJSQ,2024-04-24T04:03:51,system
19540,88158,notes,UEWHQ9,Q31RJI,2025-03-07T22:48:56,ops
19541,63804,notes,S890JE,QFGYBV,2026-02-09T19:38:31,support
19542,85050,notes,FKKB2D,0VPHWZ,2024-08-16T12:47:42,system
19543,108306,customer_phone,Z3NWG9,090C2U,2025-10-06T23:16:36,support
19544,100524,shipping_address,75VADT,KNR86R,2026-01-31T19:20:19,support
19545,6614,current_status,DQICEJ,XXHJMK,2025-06-10T08:45:46,support
19546,59042,customer_phone,8PK4M1,SZK1KS,2024-11-16T11:35:07,support
19547,64709,current_status,B01LHQ,GS2M0S,2025-11-14T05:33:24,system
19548,91416,current_status,Q8Y8I4,R7IOCJ,2025-04-13T01:48:54,support
19549,87411,notes,SY8WO9,GUP0GZ,2026-01-13T05:16:47,system
19550,64225,customer_phone,PG30JH,8I4W7G,2025-02-06T09:53:24,ops
19551,113541,order_total,8IN6D8,460TOR,2025-04-29T11:32:58,system
19552,52638,current_status,66WHIG,Q273O1,2024-09-19T21:17:26,support
19553,2676,notes,LLM91X,6ABBTU,2026-01-27T12:37:40,system
19554,50016,current_status,8AYLTX,VTIMAX,2024-08-16T14:34:33,support
19555,86412,shipping_address,FZBU8P,W3QS1X,2024-04-24T08:42:01,support
19556,45248,notes,18W5SY,CLF9KI,2024-10-12T18:10:42,support
19557,33492,order_total,XLTIHE,13FUCD,2024-04-02T15:29:19,ops
19558,66898,shipping_address,K95KRD,PKXLCM,2024-07-08T19:16:34,support
19559,13660,shipping_address,O40VHL,L8HN8C,2024-08-06T13:44:34,system
19560,19714,order_total,H28275,VC607M,2025-01-01T00:58:23,support
19561,513,customer_phone,6SLPV0,WSPX1P,2026-01-06T05:07:35,support
19562,99052,customer_phone,ZHECZJ,4V928K,2025-08-30T11:10:17,system
19563,4997,order_total,EYVC96,4MW3MU,2025-08-28T09:30:11,ops
19564,73485,order_total,7I4SWL,I3L08Q,2026-01-20T02:08:48,ops
19565,90241,order_total,Y93THP,VA39OX,2024-11-05T14:59:35,ops
19566,86335,notes,WFFZDR,LAMHI5,2026-01-08T13:35:30,ops
19567,48541,customer_phone,ZLWNJN,VD84LX,2025-06-27T07:59:16,system
19568,41856,customer_phone,3B7VSY,4NISK0,2025-10-29T17:51:30,system
19569,22235,shipping_address,3IIOX5,PHD47T,2025-12-14T17:33:41,ops
19570,23820,shipping_address,97YWZZ,72GOTW,2024-07-02T05:37:05,support
19571,3778,order_total,JH5DWJ,SD1WP4,2024-06-20T14:25:17,ops
19572,103641,current_status,I342MO,DF92O4,2025-10-17T11:40:46,support
19573,64464,order_total,EJG78X,39N8W8,2025-08-02T15:29:15,system
19574,40084,notes,VBDIL0,V4PKRA,2024-07-18T08:33:43,ops
19575,7842,notes,NYPOPX,MZKCL7,2025-01-28T13:18:06,ops
19576,90374,order_total,41WV5G,JQXKEN,2025-04-03T17:08:55,system
19577,81438,order_total,MY02WJ,MY6WJA,2024-05-07T07:59:53,system
19578,93892,current_status,GVE37X,84YIHF,2025-10-15T01:05:42,support
19579,44005,notes,1JFOCW,MDKG5F,2024-02-13T02:02:48,support
19580,70491,customer_phone,YLXYKI,TH6Y8N,2024-08-21T04:04:38,system
19581,117589,notes,ZE1HOC,TEPU9Z,2025-02-09T03:01:15,support
19582,56420,notes,ZNGHBJ,V7NEN3,2024-03-19T13:47:59,system
19583,31902,customer_phone,60O3CN,6NVU6O,2025-11-24T18:24:29,system
19584,80835,current_status,5IP6OV,HHWOIV,2025-10-29T22:48:21,support
19585,57054,notes,I8JL6Q,ZZX5F4,2024-12-14T08:40:38,system
19586,79698,shipping_address,9KQN8H,UTYLMF,2026-01-16T14:50:27,support
19587,100750,customer_phone,0AL7L9,DZ9ZED,2024-06-18T04:49:23,ops
19588,43767,current_status,GOUDYS,AKINH7,2024-04-08T01:38:47,ops
19589,30501,shipping_address,5EV5LV,PW8T9I,2024-07-13T12:44:34,support
19590,105228,order_total,UZCYQG,JVZ4GQ,2024-04-17T15:02:15,support
19591,116254,notes,2TLMK1,9GMX30,2024-03-06T16:37:01,ops
19592,108846,notes,Z91286,29NZWO,2024-10-22T22:04:25,system
19593,47373,order_total,5WU9XE,QKLACT,2024-10-19T11:16:38,system
19594,18394,customer_phone,A310TX,PH6K8T,2024-05-08T14:39:41,system
19595,88234,notes,QP8BFB,PSSC9I,2025-10-31T16:35:49,system
19596,25078,shipping_address,VK772Q,SNTTHF,2025-11-09T11:39:48,ops
19597,117678,order_total,4W3XOE,LF2MH0,2025-06-21T12:50:38,ops
19598,57336,order_total,1BGYA3,7PLE6X,2024-05-07T13:46:44,system
19599,31420,current_status,WILVF7,QMCLMV,2025-06-13T21:58:34,system
19600,115665,order_total,XTF1R3,T6KGJY,2024-05-15T06:39:17,ops
19601,13693,customer_phone,VDT00O,P7PPTT,2024-02-22T08:32:01,system
19602,97569,shipping_address,4VZ20S,6EDFYZ,2026-01-09T18:33:12,system
19603,90217,notes,KBHR9E,GL0OMV,2025-02-13T05:39:44,support
19604,86562,current_status,AWQPCW,OC94AD,2024-09-21T22:27:52,system
19605,14764,current_status,XQLO1P,21GK77,2024-08-06T22:58:32,ops
19606,95561,shipping_address,MU8NVI,75UUXO,2025-09-03T09:15:13,system
19607,26934,current_status,XXCEG1,19DV17,2024-02-11T13:13:58,support
19608,35528,current_status,TMGAMY,TYGDNE,2025-08-09T08:48:44,system
19609,66335,order_total,E2T9EN,IRH1QY,2026-02-01T17:14:42,ops
19610,37588,shipping_address,OKS0BY,TSC8RP,2024-02-25T02:27:11,support
19611,67288,notes,NATPCB,090P1X,2024-02-04T03:59:17,support
19612,77778,shipping_address,H8LW9S,MM1GUQ,2024-03-20T08:56:24,system
19613,22542,current_status,I0V5W1,9624JL,2025-09-10T11:50:55,support
19614,18352,shipping_address,LAD262,N2HWEE,2024-07-30T17:28:01,support
19615,12870,current_status,Y5B886,RX9R3B,2025-06-19T11:45:16,system
19616,109196,notes,G9CZVT,EMQN5V,2025-06-26T18:09:03,support
19617,42562,current_status,351CUY,P08O78,2025-07-18T14:18:07,support
19618,81316,shipping_address,PPBAK5,XHKS13,2025-09-02T16:03:17,system
19619,87065,notes,EMKJTR,XEU9E5,2026-01-27T07:06:46,support
19620,71960,current_status,1SVPXU,IY7ZVR,2024-06-19T02:42:32,support
19621,47187,shipping_address,CXNRYB,ISMM6A,2025-08-26T16:55:04,system
